USER_ID,USER_FULLNAME,USER_USERNAME,USER_PHONENUMBER,USER_EMAIL,USER_DEPARTMENT,USER_ROLE,USER_SKILL,USER_EXPERIENCE,USER_STRENGTH,EVENT_ID,EVENT_TITLE,EVENT_DOMAIN,EVENT_DATE,EVENT_DURATION,EVENT_TRAINER,EVENT_LOCATION,EVENT_DESCRIPTION,EVENT_CAPACITY,EVENT_CURRENTCAPACITY
66166583fc13ae7017ab925b,Garreth,geulnm,205-959-8525,gconnerlynm@loc.gov,IT,user,MongoDB,5,2,66167c20e10537e8c57ab3e8,"Frontend Frameworks Masterclass",Fullstack,23-04-2024,3,Arv,tardis,"Frontend Frameworks Masterclass focuses on modern web development tools",69,39
66166582fc13ae7017ab916a,Cammy,cbrahmsgx,900-957-4407,cbollivergx@cnn.com,HR,user,HTML,40,2,66167c20e10537e7c2855baa,"Software Testing Techniques Workshop",Fullstack,25-04-2024,1,Neddy,jarvis,"Software Testing Techniques Workshop covers software testing methodologies",50,22
66166582fc13ae7017ab916a,Cammy,cbrahmsgx,900-957-4407,cbollivergx@cnn.com,HR,user,HTML,40,2,66167c20e10537e7a3c972f6,"Blockchain Development Fundamentals Bootcamp",Blockchain,21-04-2024,1,Neel,groot,"Blockchain Development Fundamentals Bootcamp provides foundational training in blockchain development.",59,30
66166582fc13ae7017ab916a,Cammy,cbrahmsgx,900-957-4407,cbollivergx@cnn.com,HR,user,HTML,40,2,66167c20e10537e8a3bcf189,"IoT Solutions Workshop",IoT,27-04-2024,5,Barbara,groot,"IoT Solutions Workshop explores Internet of Things technologies and applications",61,33
66166582fc13ae7017ab916a,Cammy,cbrahmsgx,900-957-4407,cbollivergx@cnn.com,HR,user,HTML,40,2,66167c20e10537e8928bbf86,"Cybersecurity Basics Seminar",Cybersecurity,19-04-2024,5,Aldis,aurum,"Cybersecurity Basics Seminar provides foundational knowledge in cybersecurity",61,22
66166582fc13ae7017ab9141,Garrett,gsnalomfs,282-318-2799,grourkefs@hud.gov,IT,user,Ruby,1,2,66167c20e10537e7a3c972f6,"Blockchain Development Fundamentals Bootcamp",Blockchain,21-04-2024,1,Neel,groot,"Blockchain Development Fundamentals Bootcamp provides foundational training in blockchain development.",59,30
66166581fc13ae7017ab8fc9,Sapphira,smccuffie5c,883-196-0405,scoverlyn5c@github.io,IT,user,CSS,1,1,66167c20e10537e85f4fe4b0,"Data Analysis Workshop",Data,19-04-2024,3,Mandie,tardis,"Data Analysis Workshop provides hands-on analytical skills",66,38
66166581fc13ae7017ab8fc9,Sapphira,smccuffie5c,883-196-0405,scoverlyn5c@github.io,IT,user,CSS,1,1,66167c20e10537e80985c409,"Cloud Architecture Design Principles Seminar",Cloud,22-04-2024,5,Bronny,jarvis,"Cloud Architecture Design Principles Seminar discusses principles for designing cloud architectures",70,38
66166583fc13ae7017ab9198,Michel,mcleryi7,931-169-0796,mruddochi7@springer.com,IT,user,SQL,13,4,66167c20e10537e83cb67476,"Machine Learning Fundamentals Training",Data,21-04-2024,4,Kit,aurum,"Machine Learning Fundamentals Training introduces basic machine learning concepts",57,39
66166582fc13ae7017ab909e,Levi,lgreguolib9,738-721-6972,"lcheshirb9@barnesandnoble.com",HR,user,HTML,2,5,66167c20e10537e70a816c8d,"Fullstack Development Bootcamp",Fullstack,24-04-2024,1,Devinne,aurum,"Fullstack Development Bootcamp is an intensive training program",57,37
66166582fc13ae7017ab909e,Levi,lgreguolib9,738-721-6972,"lcheshirb9@barnesandnoble.com",HR,user,HTML,2,5,66167c20e10537e82b6ef78d,"Network Security Fundamentals Workshop",Network,26-04-2024,4,Gavan,jarvis,"Network Security Fundamentals Workshop covers essential network security concepts",53,39
66166582fc13ae7017ab909e,Levi,lgreguolib9,738-721-6972,"lcheshirb9@barnesandnoble.com",HR,user,HTML,2,5,66167c20e10537e70a816c8d,"Fullstack Development Bootcamp",Fullstack,24-04-2024,1,Devinne,aurum,"Fullstack Development Bootcamp is an intensive training program",57,37
66166583fc13ae7017ab91b3,Alyce,adinniesiy,791-101-2943,aferraraiy@jimdo.com,IT,user,HTML,16,4,66167c20e10537e7916ba1e0,"Cloud Computing Certification Course",Cloud,20-04-2024,4,Quintana,groot,"Cloud Computing Certification Course covers cloud infrastructure and services",54,21
66166583fc13ae7017ab91b3,Alyce,adinniesiy,791-101-2943,aferraraiy@jimdo.com,IT,user,HTML,16,4,66167c20e10537e6c405f851,"Big Data Analytics Certification Course",Data,23-04-2024,2,Cirillo,groot,"Big Data Analytics Certification Course covers data analytics tools and techniques",62,39
66166582fc13ae7017ab9029,Aldon,alebatteur80,263-857-2770,ahatley80@jalbum.net,IT,user,Ruby,3,3,66167c20e10537e7916ba1e0,"Cloud Computing Certification Course",Cloud,20-04-2024,4,Quintana,groot,"Cloud Computing Certification Course covers cloud infrastructure and services",54,21
66166582fc13ae7017ab9029,Aldon,alebatteur80,263-857-2770,ahatley80@jalbum.net,IT,user,Ruby,3,3,66167c20e10537e8c57ab3e8,"Frontend Frameworks Masterclass",Fullstack,23-04-2024,3,Arv,tardis,"Frontend Frameworks Masterclass focuses on modern web development tools",69,39
66166581fc13ae7017ab8ff7,Giffy,ghedylstone6m,154-917-0911,gedgson6m@a8.net,IT,user,Git,13,4,66167c20e10537e82b6ef78d,"Network Security Fundamentals Workshop",Network,26-04-2024,4,Gavan,jarvis,"Network Security Fundamentals Workshop covers essential network security concepts",53,39
66166581fc13ae7017ab8fe2,Eachelle,egeator61,313-819-0835,erylett61@hao123.com,IT,user,Firebase,40,2,66167c20e10537e8b1b76003,"Web Development Fundamentals Bootcamp",Fullstack,29-04-2024,1,Kaitlynn,groot,"Web Development Fundamentals Bootcamp provides basic web development skills",65,20
66166581fc13ae7017ab8fe2,Eachelle,egeator61,313-819-0835,erylett61@hao123.com,IT,user,Firebase,40,2,66167c20e10537e71b41aa82,"Database Administration Crash Course",Database,27-04-2024,5,Karee,groot,"Database Administration Crash Course covers essential database management skills",58,25
